ijs 0.35-1
ilmbase 2.2.0-2
imagemagick 6.9.9.23-1
imlib2 1.4.10-1
inetutils 1.9.4-5
inputproto 2.3.2-1
intel-ucode 20170707-1
intellij-idea-community-edition 2:2017.2.5-1
intltool 0.51.0-3
iproute2 4.13.0-1
iptables 1.6.1-1
iputils 20161105.1f2bb12-2
ipython 6.2.1-2
irssi 1.0.5-1
iso-codes 3.76-1
iw 4.9-1
jack 0.125.0-3
jansson 2.10-2
jasper 2.0.14-1
java-environment-common 3-1
java-runtime-common 3-1
jbig2dec 0.13-1
jdk 9.0.1-1
jdk7-openjdk 7.u151_2.6.11-1
jemalloc 1:5.0.1-3
jfsutils 1.1.15-4
jquery 3.2.1-1
jre7-openjdk 7.u151_2.6.11-1
jre7-openjdk-headless 7.u151_2.6.11-1
js 24.2.0-4
js38 38.8.0-3
js52 52.4.1-1
json-c 0.12.1-1
json-glib 1.4.2-1
jsoncpp 1.8.1-1
jsonrpc-glib 3.26.1-2
kactivities 5.40.0-1
karchive 5.40.0-1
kauth 5.40.0-1
kbd 2.0.4-1
kbookmarks 5.40.0-1
kbproto 1.0.7-1
kcodecs 5.40.0-1
kcompletion 5.40.0-1
kconfig 5.40.0-1
kconfigwidgets 5.40.0-1
kcoreaddons 5.40.0-1
kcrash 5.40.0-1
kdbusaddons 5.40.0-1
kdecoration 5.11.3-1
keyutils 1.5.10-1
kfilemetadata 5.40.0-1
kglobalaccel 5.40.0-1
kguiaddons 5.40.0-1
ki18n 5.40.0-1
kiconthemes 5.40.0-1
kidletime 5.40.0-1
kio 5.40.0-1
kitemmodels 5.40.0-1
kitemviews 5.40.0-1
kjobwidgets 5.40.0-1
kmod 24-1
knewstuff 5.40.0-1
knotifications 5.40.0-1
komodo-edit 11.0.0_18063-1
kpackage 5.40.0-1
kparts 5.40.0-1
krb5 1.15.2-1
kservice 5.40.0-1
ktextwidgets 5.40.0-1
kwallet 5.40.0-1
kwayland 5.40.0-1
kwidgetsaddons 5.40.0-1
kwindowsystem 5.40.0-1
kxmlgui 5.40.0-1
ladspa 1.13-6
lame 3.100-1
lcms 1.19-5
lcms2 2.8-2
ldb 1.2.2-1
ldns 1.7.0-3
leafpad 0.8.18.1-7
less 487-1
lib32-acl 2.2.52-2
lib32-alsa-lib 1.1.4.1-1
lib32-alsa-plugins 1.1.4-1
lib32-attr 2.4.47-1
lib32-bzip2 1.0.6-2
lib32-dbus 1.12.0-1
lib32-e2fsprogs 1.43.7-1
lib32-expat 2.2.2-1
lib32-flac 1.3.2-1
lib32-fontconfig 2.12.6-1
lib32-freetype2 2.8.1-1
lib32-gcc-libs 7.2.0-3
lib32-gettext 0.19.8.1-1
lib32-glib2 2.54.2-2
lib32-glibc 2.26-2
lib32-glu 9.0.0-3
lib32-gmp 6.1.2-1
lib32-gnutls 3.5.13-1
lib32-harfbuzz 1.4.6-1
lib32-icu 59.1-1
lib32-keyutils 1.5.10-1
lib32-krb5 1.15.2-1
lib32-lcms2 2.8-1
lib32-libasyncns 0.8+3+g68cd5af-1
lib32-libcap 2.25-1
lib32-libcups 2.2.4-2
lib32-libdrm 2.4.88-1
lib32-libelf 0.170-1
lib32-libffi 3.2.1-1
lib32-libgcrypt 1.8.1-1
lib32-libglvnd 0.2.999+g4ba53457-2
lib32-libgpg-error 1.27-1
lib32-libice 1.0.9-1
lib32-libidn 1.33-1
lib32-libjpeg-turbo 1.5.2-1
lib32-libjpeg6-turbo 1.5.2-1
lib32-libldap 2.4.44-2
lib32-libltdl 2.4.6-8
lib32-libnl 3.4.0-1
lib32-libogg 1.3.3-1
lib32-libpcap 1.8.1-1
lib32-libpciaccess 0.13.5-1
lib32-libpng 1.6.34-1
lib32-libpng12 1.2.57-1
lib32-libpulse 11.1-1
lib32-libsm 1.2.2-2
lib32-libsndfile 1.0.28-1
lib32-libtasn1 4.12-1
lib32-libtiff 4.0.8-1
lib32-libtxc_dxtn 1.0.1-5
lib32-libusb 1.0.21-1
lib32-libvorbis 1.3.5-1
lib32-libx11 1.6.5-1
lib32-libxau 1.0.8-2
lib32-libxcb 1.12-2
lib32-libxcomposite 0.4.4-2
lib32-libxcursor 1.1.14-1
lib32-libxdamage 1.1.4-2
lib32-libxdmcp 1.1.2-1
lib32-libxext 1.3.3-1
lib32-libxfixes 5.0.3-1
lib32-libxi 1.7.9-1
lib32-libxinerama 1.1.3-2
lib32-libxml2 2.9.4+16+g07418011-1
lib32-libxrandr 1.5.1-1
lib32-libxrender 0.9.10-1
lib32-libxshmfence 1.2-1
lib32-libxslt 1.1.30-1
lib32-libxss 1.2.2-2
lib32-libxtst 1.2.3-1
lib32-libxv 1.0.11-1
lib32-libxxf86vm 1.1.4-1
lib32-llvm-libs 5.0.0-1
lib32-lm_sensors 3.4.0-1
lib32-mesa 17.2.5-1
lib32-mpg123 1.25.7-1
lib32-ncurses 6.0+20170527-2
lib32-nettle 3.3-1
lib32-nvidia-utils 387.22-1
lib32-openal 1.18.2-1
lib32-openssl 1:1.1.0.g-1
lib32-p11-kit 0.23.9-1
lib32-pcre 8.40-1
lib32-primus 20151110-3
lib32-readline 7.0.003-1
lib32-systemd 235.38-1
lib32-util-linux 2.31-1
lib32-v4l-utils 1.12.5-1
lib32-virtualgl 2.5.2-2
lib32-wayland 1.14.0-1
lib32-xz 5.2.3-1
lib32-zlib 1.2.11-1
libaio 0.3.110-1
libanjuta 3.22.0+1+g2bd433c-1
libao 1.2.2-1
